filename,date,article_id,sentence,label
Mor180291,16-3-2017,6552,"LE  MINISTRE  DE  L'INDUSTRIE,  DU  COMMERCE,  DE  L'INVESTISSEMENT ET DE L'ECONOMIE NUMERIQUE,   LE  MINISTRE  DE  L'AGRICULTURE  ET  DE  LA  PECHE   MARITIME,   Yu l'arrete conjoint du ministrede l'industrie, du commerce,  de l'investissement et de l'economie numerique et du ministre de  I'agricultureetde la peche maritime nO 1798-16du 14 ramadan 1437  (20  juin  2016),  pris  pour  I'application  de  I'article  2  du  decret  nO  2-16-174  du  25  joumada  II  1437  (4  avril  2016)  pris pour l'application de certaines dispositions de la loi n 77-15  portant interdiction de la fabrication,  de l'importation, de  l'exportation, de la commercialisation et de I'utilisation de sacs  en matieres plastiques promulguee par Ie dahir nO  1-15-148 du  25  safar 1437 (7 decembre 2015),   ARRETENT:   ARTICLE  PREMIER.",0
Mor178278,15-12-2016,6526,"LE  MINISTRE  DE  L'INDUSTRIE,  DU  COMMERCE  DE  L'INVESTISSEMENT ET DE L'ECONOMIE NUMERIQUE,   LE MIN ISTRE DE L'INTERIEUR,  LE  MINISTRE  DE  L'AGRICULTURE  ET  DE  LA  PECHE   MARITIME,   LA  MINISTRE  DELEGUEE  AUPRES  DU  MINISTRE  DE  L'ENERGIE,  DES  MINES,  DE  L'EAU  ET  DE  L'ENVIRONNEMENT, CHARGEE DE L'ENVIRONNEMENT,   Vu  la loin 77-15  portant interdiction de la fabrication,  de !",0
Mor178278,15-12-2016,6526,"'application  de  certaines  dispositions  de  la  loi  n  77-15  portant  interdiction  de  la  fabrication,  de  !",0
Mor106711,5-8-2010,5862,"Est egalcmcnt interdit leur importation, leur mise en leur detention en vue de la vente, vente, leur vente Oll distribution atitre gratuit.",0
Mor178274,17-12-2015,6422,"Que Notre Majeste Cherifienne,   Vu la Constitution, notamment ses articles 42 et 50,   A DECIDE CE QUI SUIT:   Est promulguee et sera publiee  au  Bulletin  officie/, a.  la  suite du present dahir,  la loin 77-15  portant interdiction  de  la  fabrication,  de  l'importation, de  l'exportation,  de  la  commercialisation  et  de  l'utilisation  de  sacs  en  matieres  plastiques, telle qu'adoptee par la Chambre des representants  et la Chambre des conseillers.",0
Mor178274,17-12-2015,6422,"*  *  *  Loin 77-15  portant interdiction de la fabrication, de l'importation,  de l'exportation, de la commercialisation  et de l'utilisation de sacs en matieres plastiques   Article premier   Pour l'application de la presente loi, on entend par :   I.  Plastique  :  materiau  fonde  sur  l'emploi  des  macromolecules  (polymeres)  naturelles,  artificielles  ou  synthetiques;   2.",0
Mor178274,17-12-2015,6422,"A compterdu ter juillet 2016, sont interdites la fabrication  des sacs en matieres plastiques,  prevus au paragraphe 2 de  l'article premier ci-dessus,  ainsi que  leur importation, leur  exportation,  leur detention en vue de la  vente,  leur mise en  vente, leur vente ou distribution meme  A titre gratuit.",0
Mor178274,17-12-2015,6422,"Sont exclus de l'interdiction prevue A l'article 2 ci-dessus,  les sacs en matieres plastiques A usage industriel ou agricole,  les sacs en matieres plastiques isothermes, les sacs en matieres  plastiques de congelation ou surgelation et ceux utilises pour  la collecte des dechets, tels qu'ils sont definis aux paragraphes 3, 4,  5, 6, 7 et 8 de l'article premier ci-dessus.",0
Mor178274,17-12-2015,6422,"Toute personne qui detient les sacs en matieres plastiques  vises au paragraphe 2 de l'article premier de la presente loi  en  vue de les vendre, et les mettre en vente, ou qui les vend ou les  distribue, a titre onereux ou gratuit, est punie d'une amende  de 10.",1
Mor178274,17-12-2015,6422,Est  punie d'une amende de  20.,1
